"","timeseries length","method","Trend strength","AR strength","Number with p_val <=0.05","NA"
"1","10","gls","strong trend","no AR",0.574,1000
"4","10","mk","strong trend","no AR",0.37,1000
"7","10","pw","strong trend","no AR",0.46,1000
"37","10","gls","strong trend","medium AR",0.559,1000
"40","10","mk","strong trend","medium AR",0.419,1000
"43","10","pw","strong trend","medium AR",0.357,1000
"73","10","gls","strong trend","strong AR",0.583,1000
"76","10","mk","strong trend","strong AR",0.482,1000
"79","10","pw","strong trend","strong AR",0.413,1000
"10","10","gls","medium trend","no AR",0.166,1000
"13","10","mk","medium trend","no AR",0.088,1000
"16","10","pw","medium trend","no AR",0.154,1000
"46","10","gls","medium trend","medium AR",0.291291291291291,999
"49","10","mk","medium trend","medium AR",0.163163163163163,999
"52","10","pw","medium trend","medium AR",0.185185185185185,999
"82","10","gls","medium trend","strong AR",0.468468468468468,999
"85","10","mk","medium trend","strong AR",0.34034034034034,999
"88","10","pw","medium trend","strong AR",0.32032032032032,999
"19","10","gls","weak trend","no AR",0.104,1000
"22","10","mk","weak trend","no AR",0.041,1000
"25","10","pw","weak trend","no AR",0.106,1000
"55","10","gls","weak trend","medium AR",0.264,1000
"58","10","mk","weak trend","medium AR",0.137,1000
"61","10","pw","weak trend","medium AR",0.171,1000
"91","10","gls","weak trend","strong AR",0.442,1000
"94","10","mk","weak trend","strong AR",0.332,1000
"97","10","pw","weak trend","strong AR",0.322,1000
"28","10","gls","no trend","no AR",0.101,1000
"31","10","mk","no trend","no AR",0.036,1000
"34","10","pw","no trend","no AR",0.103,1000
"64","10","gls","no trend","medium AR",0.263,1000
"67","10","mk","no trend","medium AR",0.136,1000
"70","10","pw","no trend","medium AR",0.171,1000
"100","10","gls","no trend","strong AR",0.445,1000
"103","10","mk","no trend","strong AR",0.337,1000
"106","10","pw","no trend","strong AR",0.319,1000
"2","20","gls","strong trend","no AR",0.996,1000
"5","20","mk","strong trend","no AR",0.999,1000
"8","20","pw","strong trend","no AR",0.998,1000
"38","20","gls","strong trend","medium AR",0.921,1000
"41","20","mk","strong trend","medium AR",0.979,1000
"44","20","pw","strong trend","medium AR",0.849,1000
"74","20","gls","strong trend","strong AR",0.616,1000
"77","20","mk","strong trend","strong AR",0.78,1000
"80","20","pw","strong trend","strong AR",0.605,1000
"11","20","gls","medium trend","no AR",0.512,1000
"14","20","mk","medium trend","no AR",0.425,1000
"17","20","pw","medium trend","no AR",0.448,1000
"47","20","gls","medium trend","medium AR",0.397,1000
"50","20","mk","medium trend","medium AR",0.458,1000
"53","20","pw","medium trend","medium AR",0.319,1000
"83","20","gls","medium trend","strong AR",0.295,1000
"86","20","mk","medium trend","strong AR",0.516,1000
"89","20","pw","medium trend","strong AR",0.35,1000
"20","20","gls","weak trend","no AR",0.075,1000
"23","20","mk","weak trend","no AR",0.051,1000
"26","20","pw","weak trend","no AR",0.082,1000
"56","20","gls","weak trend","medium AR",0.179,1000
"59","20","mk","weak trend","medium AR",0.193,1000
"62","20","pw","weak trend","medium AR",0.134,1000
"92","20","gls","weak trend","strong AR",0.261,1000
"95","20","mk","weak trend","strong AR",0.47,1000
"98","20","pw","weak trend","strong AR",0.312,1000
"29","20","gls","no trend","no AR",0.069,1000
"32","20","mk","no trend","no AR",0.047,1000
"35","20","pw","no trend","no AR",0.077,1000
"65","20","gls","no trend","medium AR",0.175,1000
"68","20","mk","no trend","medium AR",0.182,1000
"71","20","pw","no trend","medium AR",0.122,1000
"101","20","gls","no trend","strong AR",0.263,1000
"104","20","mk","no trend","strong AR",0.473,1000
"107","20","pw","no trend","strong AR",0.316,1000
"3","30","gls","strong trend","no AR",1,1000
"6","30","mk","strong trend","no AR",1,1000
"9","30","pw","strong trend","no AR",1,1000
"39","30","gls","strong trend","medium AR",0.999,1000
"42","30","mk","strong trend","medium AR",1,1000
"45","30","pw","strong trend","medium AR",0.997,1000
"75","30","gls","strong trend","strong AR",0.822,1000
"78","30","mk","strong trend","strong AR",0.952,1000
"81","30","pw","strong trend","strong AR",0.776,1000
"12","30","gls","medium trend","no AR",0.907,1000
"15","30","mk","medium trend","no AR",0.874,1000
"18","30","pw","medium trend","no AR",0.848,1000
"48","30","gls","medium trend","medium AR",0.57,1000
"51","30","mk","medium trend","medium AR",0.719,1000
"54","30","pw","medium trend","medium AR",0.503,1000
"84","30","gls","medium trend","strong AR",0.308,1000
"87","30","mk","medium trend","strong AR",0.6,1000
"90","30","pw","medium trend","strong AR",0.359,1000
"21","30","gls","weak trend","no AR",0.062,1000
"24","30","mk","weak trend","no AR",0.045,1000
"27","30","pw","weak trend","no AR",0.064,1000
"57","30","gls","weak trend","medium AR",0.132,1000
"60","30","mk","weak trend","medium AR",0.204,1000
"63","30","pw","weak trend","medium AR",0.136,1000
"93","30","gls","weak trend","strong AR",0.168,1000
"96","30","mk","weak trend","strong AR",0.462,1000
"99","30","pw","weak trend","strong AR",0.244,1000
"30","30","gls","no trend","no AR",0.06,1000
"33","30","mk","no trend","no AR",0.043,1000
"36","30","pw","no trend","no AR",0.05,1000
"66","30","gls","no trend","medium AR",0.13,1000
"69","30","mk","no trend","medium AR",0.201,1000
"72","30","pw","no trend","medium AR",0.122,1000
"102","30","gls","no trend","strong AR",0.173,1000
"105","30","mk","no trend","strong AR",0.473,1000
"108","30","pw","no trend","strong AR",0.247,1000
