"","timeseries length","Trend strength","AR strength","N","gls","mk","pw"
"1","10","strong trend","no AR",1000,0.574,0.37,0.46
"2","10","strong trend","medium AR",1000,0.559,0.419,0.357
"3","10","strong trend","strong AR",1000,0.583,0.482,0.413
"4","10","medium trend","no AR",1000,0.166,0.088,0.154
"5","10","medium trend","medium AR",999,0.291291291291291,0.163163163163163,0.185185185185185
"6","10","medium trend","strong AR",999,0.468468468468468,0.34034034034034,0.32032032032032
"7","10","weak trend","no AR",1000,0.104,0.041,0.106
"8","10","weak trend","medium AR",1000,0.264,0.137,0.171
"9","10","weak trend","strong AR",1000,0.442,0.332,0.322
"10","10","no trend","no AR",1000,0.101,0.036,0.103
"11","10","no trend","medium AR",1000,0.263,0.136,0.171
"12","10","no trend","strong AR",1000,0.445,0.337,0.319
"13","20","strong trend","no AR",1000,0.996,0.999,0.998
"14","20","strong trend","medium AR",1000,0.921,0.979,0.849
"15","20","strong trend","strong AR",1000,0.616,0.78,0.605
"16","20","medium trend","no AR",1000,0.512,0.425,0.448
"17","20","medium trend","medium AR",1000,0.397,0.458,0.319
"18","20","medium trend","strong AR",1000,0.295,0.516,0.35
"19","20","weak trend","no AR",1000,0.075,0.051,0.082
"20","20","weak trend","medium AR",1000,0.179,0.193,0.134
"21","20","weak trend","strong AR",1000,0.261,0.47,0.312
"22","20","no trend","no AR",1000,0.069,0.047,0.077
"23","20","no trend","medium AR",1000,0.175,0.182,0.122
"24","20","no trend","strong AR",1000,0.263,0.473,0.316
"25","30","strong trend","no AR",1000,1,1,1
"26","30","strong trend","medium AR",1000,0.999,1,0.997
"27","30","strong trend","strong AR",1000,0.822,0.952,0.776
"28","30","medium trend","no AR",1000,0.907,0.874,0.848
"29","30","medium trend","medium AR",1000,0.57,0.719,0.503
"30","30","medium trend","strong AR",1000,0.308,0.6,0.359
"31","30","weak trend","no AR",1000,0.062,0.045,0.064
"32","30","weak trend","medium AR",1000,0.132,0.204,0.136
"33","30","weak trend","strong AR",1000,0.168,0.462,0.244
"34","30","no trend","no AR",1000,0.06,0.043,0.05
"35","30","no trend","medium AR",1000,0.13,0.201,0.122
"36","30","no trend","strong AR",1000,0.173,0.473,0.247
